product_no,review_text,segment,registered_at,source
5061259,"아침마다 감탄하며 먹고있는 홍로 사과!!🍎
이름 그대로 불그스름하고 예쁘게 익은 홍로사과가
상처없이 잘 포장되서 왔구요~~♡♡
홍로 사과의 특징이 아삭한 식감과 당도가 높아서
달콤하죠. 딱!! 그 홍로사과가 왔어요~~😍

받자마자 참지못하고 과일세척 가루로 깨끗하게
씻어서 껍질째 먹었어요. 저는 껍질째 먹는게 좋더라구요. 식이섬유, 항산화 성분, 비타민 등등 건강에도 좋은 것들이 많잖아요😄

솔직히 과일은 제 눈으로 보고 구입하는 편인데
컬리에서 홍로사과 구입해보니 믿음이 갈 정도네요.
사과상태나 포장상태 굿굿~~👍👍
다 먹으면 또 재구매 할 생각이에요~~!🥰",과일,,
5061259,이렇게 예쁘고 고운 사과를 편히 받아 볼 수 있어 감사합니다. 깨끗이 씻어서 남편 새벽 도시락에 싸주었어요💛,과일,,
5061259,"사과가 요즘 금값이라 
아껴서 먹곤 하는데
마켓컬리 고랭지 햇사과 5개입 중 
하나는 실패고 나머지는 괜찮았어요!
크기는 소~ 중과 정도에 따라서 갯수가 정해지는듯 싶네요

신혼부부라 아침에는 출근하느냐 바빠서 
휴일 아침에만 먹는데 
생각해보니 꽤나 오랜시간
싱싱하게 유지가 됩니다!

비싸긴 해도 아침에 먹는 사과가 
보약인거 아시죠 !?!
오늘도 땅콩버터랑 먹는데 넘 맛있어요
아삭하고 새콤달콤 합니다!!
살짝 랜덤인건 배달로 받는 편의로 인해
어쩔수 없지만 가격대비 전반적으로
만족도가 높아서 재구매 의사 있습니다!
(이미 두번째 구매해서 먹는 중)",과일,,
5061259,"꾸준히 사서 먹은 사과입니다.
오래 보관하고 먹어도 맛있는 사과입니다.",과일,,
5061259,이번 사과는 푸석하고 시어서 별로였어요,과일,,
5061259,"아삭한 식감, 달달한 맛이 우수합니다. 특히..사괴 껍질이 미끌거리지 않아 물로 씻어 껍질째 먹을 수 있는 점이 가장 좋았습니다. 또 구매할 겁니다.",과일,,
5061259,"아…  이게 뭡니까….
비위상해서 버렸습니다",과일,,
5061259,너무 사과 당도 높다고 해놓고 그런 선별도 없이 이제는 그냥 막 보내는거 같아 짜증나요 이제는,과일,,
5061259,신선하고 아침에 잘 먹어요,과일,,
5061259,쏘쏘 쏘쏘 쏘쏘 그냥그래요,과일,,
5061259,"컬리에서 과일을 수도없이 사봤는데 다 맛있고 싱싱했거든요, 근데 이 사과는 두번을 샀는데 두번다 맛도없고 싱겁고 별로였어요.",과일,,
5061259,신선하고 상큼하고 달고 맛있는 사과였어요. 아주 맛있게 잘 먹었습니다. 감사합니다,과일,,
5061259,아삭아삭 맛있어요,과일,,
5061259,"사진과 동일합니다.
만족합니다..",과일,,
5061259,늘 즐기는  우리식단에  빠질수 없는 과일이죠,과일,,
5061259,사과 맛있는데 한개가 딱딱하고 마른 사과가 들어있어서 그냥 버렸어요...,과일,,
5061259,"맛있는 사과라고 더 비싼가해서 샀더니 이건 거의 못먹을 정도인데요
초록색 익지가 않아 아무 맛도 안나고 써요
복불복인가요",과일,,
5061259,고랭지 사과 맛있어요,과일,,
5061259,비싼거 같은데 맛있네요,과일,,
5061259,"작고 껍질이 너무 두껍고 맛이없다
비싼값을 못해요",과일,,
5061259,사과 고랭지라 사보아요 먹어보고 맛있음 또주문할께요 사이즈는 좋으네요,과일,,
5061259,"재구매입니다 
이번 사과는 아삭한것도 있고 퍼석한것도 있네요ㅎㅎ그래도 개별표장이라 좋아요ㅎㅎ",과일,,
5061259,아삭함과 당도에서  만족합니다.,과일,,
5061259,기대 안 하고 샀는데 너무 맛있어서 또 구입했습니다. 상태도 좋고 맛도 좋아요~,과일,,
